INSTALLATION YEAR, ACT, NSW, NT, QLD, SA, TAS, VIC, WA, NATIONAL
2010, 4.66, 153.87, 1.49, 92.37, 33.23, 3.02, 58.96, 42.15, 389.75
2011, 15.86, 196.52, 1.80, 225.19, 163.52, 5.91, 140.41, 123.01, 872.24
2012, 4.64, 144.98, 2.29, 418.41, 138.04, 20.26, 207.58, 99.55, 1035.75
2013, 9.83, 134.36, 5.05, 268.87, 141.40, 31.50, 131.61, 69.56, 792.19
2014, 4.51, 172.35, 6.12, 248.79, 82.54, 18.96, 171.70, 95.30, 800.26
2015, 5.06, 177.08, 8.64, 192.76, 66.64, 9.53, 149.98, 96.24, 705.92
2016, 6.21, 167.35, 12.70, 199.53, 77.67, 11.84, 144.46, 128.05, 747.82
2017, 11.00, 262.85, 15.26, 306.06, 115.22, 14.53, 205.20, 186.24, 1116.37
2018, 21.90, 426.25, 20.06, 407.18, 174.36, 18.87, 337.42, 210.00, 1616.03
2019, 28.31, 597.35, 27.40, 587.59, 226.22, 21.03, 449.22, 253.68, 2190.81 
